timestamp,lower,forecast,upper
2011-01-01,23.057051227003086,24.472714422758322,25.733174727961206
2011-02-01,24.47638918177726,25.90038322281017,27.340098320230933
2011-03-01,24.72407647610552,26.380845781935143,27.78547324396122
2011-04-01,24.2079362028469,25.435358138908114,26.76431953276137
2011-05-01,22.893446732621946,24.243233613235684,25.50855872400741
2011-06-01,20.110278641729114,21.410083249373756,22.92020280696999
2011-07-01,20.448443985947186,21.849134535732144,23.271453486614675
2011-08-01,19.521987375321324,20.911212583493274,22.295620782235268
2011-09-01,19.437170128294753,20.622370976660438,21.94680003774289
2011-10-01,19.593647001938596,20.921059779061373,22.190230451993163
2011-11-01,20.04171087734133,21.54799160359717,22.933568624624467
2011-12-01,21.50205152196011,22.686244141658428,24.186420592317308
